quantity_raw_numeric,arrival_quantity_qtl,unit_clean,arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,crop_name_raw,data_quality_flag
264.38,264.38,QTL,,2026-06-18,MANDI026,Maize,Pusa-1121,264.38,Qtl,96.0,मक्का,OK
373.93,373.93,QTL,ARR0006088,2026-08-12,MANDI019,Sugarcane,HD-2967,373.93,Quintals,121.0,Ganne,OK
70.49,70.49,QTL,ARR0021143,2026-04-30,MANDI024,Mustard,Premium,7048.999999999999,Kgs,7.0,सरसों,OK
383.43000000000006,383.43000000000006,QTL,ARR0019959,2026-08-21,MANDI022,Maize,PBW-343,38.343,Tonnes,85.0,Makka,OK
113.89,113.89,QTL,ARR0001442,2026-05-31,MANDI044,Rice,Local,113.89,Qtl,97.0,paddy,OK
159.1,159.1,QTL,ARR0004480,2026-04-08,MANDI045,Wheat,Local,15910.0,kg,102.0,Wheat,OK
197.48,197.48,QTL,ARR0021197,2026-08-28,MANDI021,Sugarcane,Hybrid,197.48,qtl,,sugarcane,OK
350.53,350.53,QTL,ARR0020628,2026-06-12,MANDI012,Sugarcane,PBW-343,35053.0,Kilo,71.0,sugarcane,OK
406.67,406.67,QTL,ARR0001665,2026-07-30,MANDI055,Rice,Local,406.67,Quintals,,Chawal,OK
162.36,162.36,QTL,ARR0002938,2026-07-04,MANDI016,Wheat,,162.36,qtl,114.0,GEHUN,OK
190.73000000000002,190.73000000000002,QTL,ARR0019350,2026-03-25,MANDI001,Wheat,Premium,19.073,MT,,गेहूं,OK
73.47,73.47,QTL,ARR0020205,2026-07-05,MANDI037,Maize,Hybrid,7347.0,Kgs,17.0,Makka,OK
366.54,366.54,QTL,ARR0015292,2026-07-15,MANDI037,Wheat,PBW-343,"36,654.0 KG",,53.0,wheat,OK
82.61,82.61,QTL,ARR0019616,2026-04-10,MANDI008,Maize,Hybrid,82.61,qtl,,Corn,OK
194.32,194.32,QTL,ARR0022884,2026-05-12,MANDI047,Maize,,194.32,Quintals,33.0,मक्का,OK
380.55,380.55,QTL,ARR0003230,2026-04-03,MANDI051,Mustard,PBW-343,38.055,MT,6.0,सरसों,OK
97.11,97.11,QTL,ARR0003266,2026-04-24,MANDI023,Sugarcane,,97.11,qtl,17.0,Ganna,OK
159.99,159.99,QTL,ARR0023966,2026-03-03,MANDI017,Mustard,PBW-343,15999.0,Kilo,125.0,Sarso,OK
226.97,226.97,QTL,ARR0017190,2026-08-01,MANDI002,Cotton,PBW-343,"22,697.0 KG",,73.0,cotton,OK
78.45,78.45,QTL,ARR0003048,2026-01-24,MANDI016,Cotton,Premium,7845.0,KGS,54.0,Cotton,OK
342.39,342.39,QTL,ARR0013641,2026-03-18,MANDI018,Mustard,Premium,342.39,Qtl,143.0,Sarso,OK
322.27,322.27,QTL,ARR0019876,2026-07-12,MANDI054,Basmati,,32227.0,Kgs,127.0,Basmati,OK
336.73,336.73,QTL,ARR0018787,2026-08-08,MANDI044,Rice,Pusa-1121,336.73 qtl,,69.0,paddy,OK
127.9,127.9,QTL,ARR0020778,2026-03-08,MANDI024,Mustard,HD-2967,12790.0,Kilo,113.0,mustard,OK
361.74,361.74,QTL,ARR0002765,2026-02-28,MANDI013,Mustard,Premium,361.74,Q,62.0,Sarson,OK
469.92,469.92,QTL,ARR0014145,2026-01-31,MANDI006,Sugarcane,Pusa-1121,469.92,qtl,18.0,Ganna,OK
-1.7705000000000002,-1.7705000000000002,QTL,ARR0023854,2026-05-06,MANDI007,Sugarcane,,-177.05,KG,46.0,sugarcane,OK
341.2900000000001,341.2900000000001,QTL,ARR0012859,2026-03-20,MANDI057,Cotton,PBW-343,34.129000000000005,T,,Cotton,OK
175.88,175.88,QTL,ARR0023766,2026-02-02,MANDI025,Rice,HD-2967,17588.0,Kgs,88.0,धान,OK
176.03000000000003,176.03000000000003,QTL,ARR0009572,2026-05-10,MANDI041,Maize,Premium,17.603,T,38.0,Makka,OK
309.07,309.07,QTL,ARR0021131,2026-04-24,MANDI040,Maize,Hybrid,309.07 qtl,,146.0,corn,OK
472.36,472.36,QTL,ARR0022207,2026-03-25,MANDI027,Basmati,HD-2967,47236.0,Kgs,11.0,Basmati,OK
126.77,126.77,QTL,ARR0005385,2026-08-07,MANDI028,Cotton,Hybrid,12.677,tonnes,5.0,कपास,OK
284.92,284.92,QTL,ARR0020517,2026-06-02,MANDI026,Wheat,PBW-343,28.492,Tonnes,99.0,Gehun,OK
54.32,54.32,QTL,ARR0015213,2026-02-27,MANDI005,Rice,PBW-343,54.32,qtl,122.0,Paddy,OK
431.25,431.25,QTL,,2026-02-04,MANDI031,Maize,Local,431.25 qtl,,60.0,corn,OK
200.26,200.26,QTL,ARR0010273,2026-03-06,MANDI021,Mustard,,200.26,Qtl,11.0,Sarso,OK
312.23,312.23,QTL,ARR0023476,2026-06-05,MANDI023,Mustard,PBW-343,312.23,Qtl,18.0,Sarson,OK
270.41,270.41,QTL,ARR0013815,2026-06-08,MANDI009,Maize,HD-2967,27041.000000000004,Kilo,83.0,Makka,OK
44.41,44.41,QTL,ARR0023287,2026-02-08,MANDI003,Cotton,PBW-343,4.441,MT,127.0,Narma,OK
455.6,455.6,QTL,ARR0016192,2026-07-03,MANDI023,Maize,,455.6,quintal,59.0,Corn,OK
60.33,60.33,QTL,ARR0011823,2026-01-13,MANDI004,Rice,HD-2967,60.33,qtl,124.0,Chawal,OK
158.3,158.3,QTL,ARR0005816,2026-01-24,MANDI039,Sugarcane,PBW-343,158.3,quintal,135.0,Sugarcane,OK
436.55,436.55,QTL,ARR0006030,2026-04-22,MANDI033,Cotton,HD-2967,"43,655.0 KG",,128.0,Cotton,OK
291.4,291.4,QTL,ARR0010009,2026-03-10,MANDI004,Rice,,29139.999999999996,kg,,paddy,OK
458.13,458.13,QTL,ARR0022129,2026-02-10,MANDI040,Sugarcane,Local,45813.0,KGS,131.0,गन्ना,OK
72.78,72.78,QTL,ARR0015481,2026-06-09,MANDI028,Maize,Premium,"7,278.0 KG",,68.0,Corn,OK
325.83,325.83,QTL,ARR0020630,2026-08-16,MANDI028,Rice,Local,32583.0,kg,36.0,चावल,OK
182.46,182.46,QTL,ARR0005888,2026-07-03,MANDI049,Maize,,182.46,quintal,,Corn,OK
182.75,182.75,QTL,ARR0006650,2026-09-06,MANDI043,Rice,Local,18275.0,KG,128.0,Rice,OK
239.47,239.47,QTL,ARR0002363,2026-03-09,MANDI026,Maize,Pusa-1121,23947.0,KGS,29.0,corn,OK
178.99,178.99,QTL,ARR0010446,2026-08-05,MANDI026,Maize,Pusa-1121,17.899,tonnes,21.0,Makki,OK
59.18,59.18,QTL,ARR0009069,2026-05-15,MANDI022,Cotton,Pusa-1121,5918.0,Kilo,76.0,Narma,OK
158.72,158.72,QTL,ARR0020854,2026-06-18,MANDI035,Sugarcane,Pusa-1121,158.72,Q,,Sugarcane,OK
258.28,258.28,QTL,ARR0023442,2026-05-20,MANDI056,Cotton,,25827.999999999996,KGS,73.0,Cotton,OK
375.28,375.28,QTL,ARR0011135,2026-06-20,MANDI035,Rice,Premium,37.528,T,138.0,paddy,OK
76.9,76.9,QTL,ARR0000197,2026-05-20,MANDI001,Cotton,HD-2967,76.9 qtl,,118.0,Narma,OK
285.57,285.57,QTL,,2026-05-08,MANDI002,Maize,HD-2967,28557.0,Kgs,46.0,Makka,OK
26.83,26.83,QTL,ARR0001203,2026-04-04,MANDI045,Cotton,PBW-343,2683.0,KGS,12.0,कपास,OK
108.06,108.06,QTL,ARR0009407,2026-04-05,MANDI051,Mustard,Local,108.06,Quintals,78.0,Mustard,OK
372.88,372.88,QTL,ARR0013714,2026-03-31,MANDI038,Cotton,Premium,37.288,Tonnes,41.0,cotton,OK
354.98,354.98,QTL,ARR0002798,2026-04-08,MANDI043,Cotton,Hybrid,354.98,Q,11.0,Narma,OK
141.83,141.83,QTL,ARR0006770,2026-06-25,MANDI015,Wheat,Hybrid,141.83,Quintals,134.0,Gehun,OK
181.37,181.37,QTL,ARR0019634,2026-03-25,MANDI013,Cotton,,18.137,tonnes,45.0,कपास,OK
334.11,334.11,QTL,ARR0012525,2026-06-25,MANDI043,Maize,Premium,334.11,Q,119.0,Makka,OK
414.58,414.58,QTL,ARR0016292,2026-02-05,MANDI049,Maize,Pusa-1121,41458.0,kg,36.0,Makki,OK
390.83,390.83,QTL,ARR0019272,2026-03-05,MANDI030,Sugarcane,Local,"39,083.0 KG",,104.0,Sugarcane,OK
214.12,214.12,QTL,ARR0004049,2026-04-13,MANDI003,Rice,Pusa-1121,21412.0,KG,56.0,Dhaan,OK
413.89,413.89,QTL,ARR0002716,2026-07-17,MANDI057,Sugarcane,Hybrid,41389.0,Kgs,106.0,Sugarcane,OK
356.49,356.49,QTL,ARR0014184,2026-02-12,MANDI037,Mustard,PBW-343,"35,649.0 KG",,,Mustard,OK
-3.5718,-3.5718,QTL,ARR0008333,2026-01-15,MANDI054,Wheat,,-357.18,KG,133.0,Wheat,OK
126.56,126.56,QTL,ARR0000429,2026-08-25,MANDI039,Cotton,Hybrid,12.656,MT,76.0,Cotton,OK
183.44,183.44,QTL,ARR0024925,2026-08-04,MANDI024,Wheat,,18344.0,KG,83.0,wheat,OK
403.81,403.81,QTL,ARR0019727,2026-04-30,MANDI034,Cotton,PBW-343,40381.0,KGS,81.0,कपास,OK
311.39,311.39,QTL,ARR0002477,2026-03-28,MANDI020,Rice,Local,31.139,tonnes,150.0,Chawal,OK
191.48,191.48,QTL,ARR0000342,2026-06-17,MANDI033,Cotton,Premium,191.48,Q,30.0,Narma,OK
272.0,272.0,QTL,ARR0023820,2026-07-25,MANDI029,Mustard,Local,27200.0,KGS,,Mustard,OK
25.84,25.84,QTL,ARR0010204,2026-07-21,MANDI006,Rice,,2584.0,Kgs,102.0,Paddy,OK
20.63,20.63,QTL,ARR0000398,2026-03-25,MANDI029,Maize,PBW-343,20.63 qtl,,44.0,Makki,OK
410.19999999999993,410.19999999999993,QTL,ARR0020708,2026-06-01,MANDI054,Cotton,Hybrid,41.019999999999996,MT,60.0,Narma,OK
485.63,485.63,QTL,ARR0020105,2026-02-19,MANDI028,Mustard,Pusa-1121,48.563,Tonnes,60.0,Sarso,OK
29.48,29.48,QTL,ARR0019842,2026-03-30,MANDI056,Sugarcane,Pusa-1121,2948.0,Kgs,112.0,sugarcane,OK
478.99,478.99,QTL,ARR0014214,2026-02-21,MANDI031,Sugarcane,Hybrid,478.99 qtl,,123.0,Ganne,OK
460.65,460.65,QTL,ARR0017781,2026-05-24,MANDI031,Sugarcane,PBW-343,46065.0,kg,46.0,Ganne,OK
372.43,372.43,QTL,ARR0009910,2026-04-28,MANDI041,Cotton,Pusa-1121,372.43,Q,42.0,cotton,OK
74.11,74.11,QTL,ARR0008506,2026-02-03,MANDI024,Rice,Hybrid,74.11,Qtl,96.0,Chawal,OK
156.64,156.64,QTL,ARR0023886,2026-07-12,MANDI011,Maize,Local,15663.999999999998,KG,14.0,Makka,OK
46.38,46.38,QTL,ARR0006149,2026-04-27,MANDI041,Cotton,Pusa-1121,4638.0,kg,103.0,Narma,OK
81.67,81.67,QTL,ARR0023964,2026-07-20,MANDI008,Rice,,81.67,qtl,,धान,OK
401.5,401.5,QTL,ARR0003143,2026-08-24,MANDI034,Rice,HD-2967,401.5 qtl,,113.0,Rice,OK
44.89,44.89,QTL,ARR0002588,2026-06-05,MANDI040,Mustard,,4.489,MT,137.0,सरसों,OK
126.46,126.46,QTL,ARR0002948,2026-02-18,MANDI019,Wheat,,"12,646.0 KG",,146.0,GEHUN,OK
242.45,242.45,QTL,ARR0015103,2026-02-22,MANDI050,Cotton,Pusa-1121,24245.0,Kgs,73.0,Cotton,OK
272.59,272.59,QTL,ARR0011288,2026-01-04,MANDI043,Cotton,Pusa-1121,27258.999999999996,kg,43.0,कपास,OK
75.37,75.37,QTL,ARR0009656,2026-04-01,MANDI018,Sugarcane,HD-2967,"7,537.0 KG",,,गन्ना,OK
413.41,413.41,QTL,ARR0002899,2026-07-23,MANDI017,Cotton,Hybrid,"41,341.0 KG",,134.0,Narma,OK
47.79,47.79,QTL,ARR0013711,2026-03-29,MANDI028,Sugarcane,Hybrid,47.79,Q,15.0,sugarcane,OK
309.79,309.79,QTL,ARR0009578,2026-04-12,MANDI016,Maize,Pusa-1121,309.79,Qtl,20.0,corn,OK
228.42,228.42,QTL,ARR0005981,2026-04-05,MANDI004,Rice,Premium,22842.0,kg,145.0,Rice,OK
80.86,80.86,QTL,ARR0023291,2026-02-11,MANDI020,Wheat,Premium,80.86,Q,89.0,गेहूं,OK
243.18,243.18,QTL,ARR0009654,2026-03-13,MANDI030,Sugarcane,,"24,318.0 KG",,31.0,sugarcane,OK
276.83,276.83,QTL,ARR0012458,2026-05-08,MANDI039,Mustard,Pusa-1121,276.83,Quintals,24.0,Mustard,OK
269.53,269.53,QTL,ARR0014621,2026-05-23,MANDI056,Sugarcane,Local,"26,952.999999999996 KG",,80.0,sugarcane,OK
62.02,62.02,QTL,ARR0016696,2026-01-31,MANDI039,Maize,Pusa-1121,6202.0,Kilo,132.0,Makka,OK
167.84,167.84,QTL,ARR0004195,2026-07-17,MANDI035,Mustard,PBW-343,16784.0,Kilo,129.0,mustard,OK
418.67,418.67,QTL,ARR0014009,2026-08-04,MANDI007,Maize,,418.67,quintal,85.0,Corn,OK
22.0,22.0,QTL,ARR0002509,2026-05-31,MANDI013,Maize,HD-2967,2.2,tonnes,141.0,मक्का,OK
293.4,293.4,QTL,ARR0017972,2026-02-26,MANDI034,Rice,Local,29339.999999999996,kg,6.0,Dhaan,OK
-0.5489,-0.5489,QTL,ARR0002169,2026-01-09,MANDI039,Rice,Hybrid,-54.89,KG,41.0,Dhaan,OK
160.17,160.17,QTL,,2026-08-19,MANDI044,Wheat,Hybrid,16.017,T,138.0,wheat,OK
410.98,410.98,QTL,ARR0003269,2026-04-03,MANDI046,Rice,PBW-343,41.098,tonnes,43.0,Chawal,OK
-4.5548,-4.5548,QTL,ARR0009004,2026-03-27,MANDI023,Wheat,,-455.48,KG,120.0,wheat,OK
256.67,256.67,QTL,ARR0018741,2026-02-20,MANDI056,Sugarcane,Premium,256.67,Qtl,31.0,Ganna,OK
-4.5342,-4.5342,QTL,ARR0014531,2026-02-03,MANDI036,Cotton,,-453.42,KG,38.0,कपास,OK
245.01,245.01,QTL,ARR0003705,2026-04-10,MANDI002,Mustard,Hybrid,24.500999999999998,T,,Mustard,OK
156.22,156.22,QTL,ARR0010827,2026-05-29,MANDI016,Rice,Premium,156.22,Qtl,95.0,Chawal,OK
-77.12,-77.12,QTL,ARR0018637,2026-04-04,MANDI046,Rice,Hybrid,-77.12,Qtl,67.0,Dhaan,OK
326.35,326.35,QTL,ARR0007570,2026-07-29,MANDI019,Mustard,Premium,32635.000000000004,kg,105.0,mustard,OK
327.55,327.55,QTL,ARR0011179,2026-03-30,MANDI040,Mustard,,32.755,Tonnes,26.0,Sarso,OK
23.5,23.5,QTL,ARR0009296,2026-05-10,MANDI001,Maize,,2.35,MT,,Makka,OK
16.33,16.33,QTL,ARR0019940,2026-08-21,MANDI022,Sugarcane,HD-2967,1.6329999999999998,Tonnes,68.0,Sugarcane,OK
89.74,89.74,QTL,ARR0004811,2026-05-26,MANDI020,Rice,Hybrid,8974.0,Kilo,77.0,Rice,OK
323.15,323.15,QTL,ARR0020960,2026-03-03,MANDI047,Mustard,Premium,32314.999999999996,Kilo,,Sarson,OK
211.28,211.28,QTL,ARR0002791,2026-02-06,MANDI055,Mustard,PBW-343,21128.0,Kgs,47.0,Sarson,OK
278.08,278.08,QTL,ARR0012957,2026-02-10,MANDI019,Rice,Local,27.808,Tonnes,36.0,Chawal,OK
28.54,28.54,QTL,ARR0022933,2026-04-08,MANDI037,Cotton,Premium,28.54 qtl,,9.0,Kapas,OK
114.88,114.88,QTL,ARR0014544,2026-07-31,MANDI022,Maize,Pusa-1121,11.488,MT,116.0,मक्का,OK
59.22,59.22,QTL,ARR0013198,2026-04-25,MANDI010,Wheat,Pusa-1121,59.22,Qtl,43.0,Wheat,OK
215.7,215.7,QTL,ARR0007340,2026-03-23,MANDI012,Wheat,Premium,21570.0,Kgs,80.0,Kanak,OK
409.66,409.66,QTL,ARR0020658,2026-08-01,MANDI021,Rice,Hybrid,40.966,MT,96.0,Paddy,OK
495.58,495.58,QTL,ARR0001088,2026-05-07,MANDI017,Mustard,Pusa-1121,495.58,qtl,94.0,Sarson,OK
-0.1134,-0.1134,QTL,ARR0024650,2026-08-18,MANDI049,Mustard,Hybrid,-11.34,KG,61.0,Mustard,OK
188.7,188.7,QTL,ARR0008152,2026-06-08,MANDI008,Cotton,,188.7 qtl,,147.0,Cotton,OK
493.91,493.91,QTL,ARR0021890,2026-06-02,MANDI009,Sugarcane,,493.91,quintal,84.0,Sugarcane,OK
66.2,66.2,QTL,ARR0007925,2026-07-19,MANDI037,Mustard,Local,66.2 qtl,,32.0,Mustard,OK
165.63,165.63,QTL,ARR0017611,2026-04-12,MANDI024,Maize,Hybrid,165.63,Quintals,77.0,मक्का,OK
310.0,310.0,QTL,ARR0016207,2026-07-07,MANDI032,Maize,Pusa-1121,"31,000.0 KG",,34.0,Makki,OK
110.39,110.39,QTL,ARR0024181,2026-05-07,MANDI015,Sugarcane,Local,110.39,Qtl,20.0,Sugarcane,OK
64.7,64.7,QTL,ARR0004419,2026-03-21,MANDI006,Sugarcane,Hybrid,64.7,qtl,105.0,Sugarcane,OK
153.27,153.27,QTL,ARR0006199,2026-02-11,MANDI053,Sugarcane,Local,153.27,qtl,79.0,Sugarcane,OK
403.96,403.96,QTL,ARR0014957,2026-01-09,MANDI019,Mustard,Hybrid,40396.0,KG,79.0,Sarso,OK
431.18,431.18,QTL,ARR0023574,2026-02-26,MANDI023,Mustard,Premium,431.18,quintal,129.0,Mustard,OK
25.36,25.36,QTL,ARR0017021,2026-03-14,MANDI020,Rice,Pusa-1121,2536.0,Kgs,72.0,Paddy,OK
-77.75,-77.75,QTL,ARR0001428,2026-07-10,MANDI024,Maize,Hybrid,-77.75,Qtl,106.0,Maize,OK
-1.1525,-1.1525,QTL,ARR0002493,2026-04-14,MANDI006,Rice,Local,-115.25,KG,63.0,paddy,OK
96.35,96.35,QTL,ARR0013505,2026-06-06,MANDI052,Mustard,,96.35,quintal,,mustard,OK
-4.3201,-4.3201,QTL,ARR0002010,2026-03-21,MANDI033,Wheat,Local,-432.01,KG,12.0,WHEAT,OK
43.98,43.98,QTL,ARR0002534,2026-07-02,MANDI007,Mustard,Pusa-1121,4.398,tonnes,21.0,सरसों,OK
486.01,486.01,QTL,ARR0009802,2026-09-07,MANDI026,Cotton,HD-2967,486.01,Quintals,12.0,cotton,OK
298.47,298.47,QTL,ARR0015940,2026-03-13,MANDI028,Maize,,298.47,quintal,18.0,Maize,OK
287.47,287.47,QTL,ARR0005817,2026-03-20,MANDI013,Maize,,287.47 qtl,,12.0,corn,OK
389.78,389.78,QTL,ARR0023731,2026-03-15,MANDI008,Sugarcane,HD-2967,38.977999999999994,tonnes,,Ganna,OK
151.28,151.28,QTL,ARR0018857,2026-01-25,MANDI042,Sugarcane,Hybrid,151.28,Quintals,113.0,गन्ना,OK
-136.17,-136.17,QTL,ARR0010088,2026-01-09,MANDI049,Mustard,PBW-343,-136.17,Qtl,,सरसों,OK
241.75,241.75,QTL,ARR0020189,2026-05-24,MANDI057,Maize,,241.75,Quintals,68.0,Makka,OK
443.71,443.71,QTL,ARR0022768,2026-06-28,MANDI024,Mustard,Premium,44371.0,Kilo,42.0,सरसों,OK
78.07,78.07,QTL,ARR0018919,2026-03-17,MANDI024,Mustard,,7806.999999999999,Kgs,132.0,Sarson,OK
258.11,258.11,QTL,ARR0006562,2026-04-19,MANDI014,Wheat,PBW-343,"25,811.0 KG",,25.0,Gehun,OK
318.3,318.3,QTL,ARR0004149,2026-06-04,MANDI003,Rice,Premium,318.3,Q,48.0,Rice,OK
62.98,62.98,QTL,ARR0024592,2026-08-28,MANDI037,Rice,PBW-343,62.98 qtl,,55.0,Chawal,OK
193.12,193.12,QTL,ARR0011429,2026-08-04,MANDI042,Wheat,Local,19312.0,KGS,101.0,WHEAT,OK
451.02,451.02,QTL,ARR0018153,2026-02-05,MANDI027,Cotton,Local,45102.0,KGS,141.0,Narma,OK
300.38,300.38,QTL,ARR0006286,2026-03-03,MANDI050,Maize,PBW-343,"30,038.0 KG",,7.0,Makki,OK
185.56,185.56,QTL,ARR0000231,2026-06-07,MANDI049,Sugarcane,Hybrid,185.56 qtl,,82.0,Sugarcane,OK
425.38,425.38,QTL,ARR0018527,2026-08-01,MANDI010,Wheat,Local,42538.0,kg,144.0,Kanak,OK
73.8,73.8,QTL,ARR0008215,2026-05-22,MANDI003,Sugarcane,Local,"7,380.0 KG",,73.0,sugarcane,OK
425.79,425.79,QTL,ARR0010793,2026-08-23,MANDI022,Rice,Hybrid,42.579,T,132.0,Chawal,OK
-1.4726,-1.4726,QTL,ARR0006601,2026-06-22,MANDI015,Mustard,HD-2967,-147.26,KG,5.0,सरसों,OK
19.0,19.0,QTL,ARR0023800,2026-09-09,MANDI012,Sugarcane,PBW-343,"1,900.0 KG",,123.0,sugarcane,OK
153.67,153.67,QTL,ARR0021788,2026-06-07,MANDI016,Sugarcane,Hybrid,15.366999999999999,T,143.0,Ganna,OK
259.71,259.71,QTL,ARR0019846,2026-06-21,MANDI024,Maize,Pusa-1121,25970.999999999996,Kgs,40.0,मक्का,OK
355.64,355.64,QTL,ARR0015205,2026-01-25,MANDI011,Basmati,HD-2967,355.64,Quintals,56.0,Basmati,OK
385.16,385.16,QTL,ARR0008780,2026-01-30,MANDI038,Basmati,PBW-343,"38,516.0 KG",,130.0,Basmati,OK
312.94,312.94,QTL,ARR0006070,2026-06-06,MANDI034,Wheat,,31.294,Tonnes,65.0,Wheat,OK
153.95,153.95,QTL,ARR0002035,2026-06-06,MANDI049,Maize,,15.395,tonnes,97.0,मक्का,OK
25.92,25.92,QTL,ARR0002214,2026-01-24,MANDI044,Maize,Pusa-1121,2592.0,Kilo,112.0,Corn,OK
318.73,318.73,QTL,ARR0017078,2026-06-29,MANDI007,Mustard,Pusa-1121,"31,873.0 KG",,31.0,Mustard,OK
96.93,96.93,QTL,ARR0004860,2026-03-30,MANDI013,Mustard,Hybrid,9.693000000000001,MT,143.0,mustard,OK
29.87,29.87,QTL,ARR0024883,2026-07-18,MANDI028,Maize,Hybrid,29.87 qtl,,131.0,Maize,OK
385.54,385.54,QTL,ARR0012995,2026-06-04,MANDI057,Mustard,,38554.0,Kilo,26.0,mustard,OK
364.6,364.6,QTL,ARR0002230,2026-05-31,MANDI033,Wheat,Pusa-1121,36.46,tonnes,127.0,WHEAT,OK
-1.4327,-1.4327,QTL,ARR0002276,2026-08-30,MANDI057,Sugarcane,,-143.27,KG,113.0,Ganne,OK
360.53,360.53,QTL,,2026-09-06,MANDI046,Cotton,Local,360.53 qtl,,135.0,Narma,OK
140.36,140.36,QTL,ARR0005679,2026-03-03,MANDI015,Cotton,Hybrid,140.36,Q,51.0,Kapas,OK
181.14,181.14,QTL,ARR0018820,2026-05-10,MANDI032,Mustard,Premium,181.14 qtl,,116.0,Sarso,OK
118.37,118.37,QTL,ARR0002749,2026-01-24,MANDI031,Rice,,118.37 qtl,,,Paddy,OK
456.27,456.27,QTL,ARR0010291,2026-06-21,MANDI036,Cotton,PBW-343,456.27 qtl,,118.0,कपास,OK
185.58,185.58,QTL,ARR0004786,2026-08-01,MANDI015,Sugarcane,,18558.0,kg,51.0,गन्ना,OK
106.05,106.05,QTL,ARR0004085,2026-05-19,MANDI056,Maize,PBW-343,106.05,Qtl,38.0,मक्का,OK
323.65,323.65,QTL,ARR0001476,2026-05-19,MANDI048,Sugarcane,Local,323.65,qtl,68.0,Ganne,OK
402.65,402.65,QTL,ARR0014866,2026-04-15,MANDI032,Sugarcane,PBW-343,402.65,Quintals,53.0,Ganna,OK
118.61,118.61,QTL,ARR0005733,2026-09-08,MANDI048,Sugarcane,Hybrid,118.61 qtl,,42.0,Ganna,OK
441.08,441.08,QTL,ARR0014885,2026-07-26,MANDI035,Basmati,Premium,441.08,Quintals,14.0,Basmati,OK
452.35,452.35,QTL,ARR0009501,2026-05-18,MANDI045,Maize,PBW-343,"45,235.0 KG",,62.0,corn,OK
311.41,311.41,QTL,ARR0017324,2026-01-30,MANDI029,Mustard,Premium,31141.000000000004,KG,140.0,Mustard,OK
168.48,168.48,QTL,ARR0018785,2026-09-08,MANDI009,Wheat,Premium,16.848,T,81.0,wheat,OK
246.35,246.35,QTL,ARR0014174,2026-04-23,MANDI031,Sugarcane,,24635.0,Kgs,83.0,Ganne,OK
28.0,28.0,QTL,ARR0012348,2026-05-16,MANDI057,Maize,Pusa-1121,2.8,Tonnes,,Corn,OK
