trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,transit_hours_raw,transit_hours_clean,transit_time_source,distance_km
TRP008147,MANDI019,WH-North,2026-05-28 13:14:44,2026-05-29 05:32:44,16.3,551.0939399,miles,HR-30-BC-9997,DRV384,16.3,16.3,reported,886.8975212386661
TRP006177,MANDI036,WH-West,2026-01-04 18:01:00,2026-01-04 22:07:19,4.1,,,PB-73-AB-4041,DRV497,4.1,4.1,reported,
TRP007259,MANDI048,WH-North,2026-07-11 00:39:35,2026-07-11 12:51:35,12.2,620.1,km,DL-59-BC-5485,DRV350,12.2,12.2,reported,620.1
TRP000034,MANDI057,WH-West,2026-08-13 05:21:48,2026-08-13 14:15:48,8.9,437.5,km,DL-65-AB-3380,DRV761,8.9,8.9,reported,437.5
TRP001251,MANDI039,WH-West,2026-06-22 00:15:00,2026-06-22 06:39:00,6.4,,,HR-17-AB-1638,DRV299,6.4,6.4,reported,
TRP003527,MANDI055,WH-North,2026-02-17 19:49:00,,4.1,148.9426287,miles,PB-25-BC-1517,DRV630,4.1,4.1,reported,239.699330072058
TRP008904,MANDI056,WH-North,2026-05-02 10:59:00,2026-05-03 07:17:55,20.3,1115.4,km,PB-28-DF-8439,DRV544,20.3,20.3,reported,1115.4
TRP001537,MANDI012,WH-West,2026-05-09 02:30:00,2026-05-09 00:00:00,15.1,835.3,km,RJ-10-AB-4277,,15.1,15.1,reported,835.3
TRP008180,MANDI021,Export-Terminal,2026-02-06 08:55:45,2026-02-06 13:25:00,4.5,199.5,km,UP-83-AB-2103,DRV524,4.5,4.5,reported,199.5
TRP001122,MANDI011,WH-South,2026-05-01 22:46:00,,16.9,819.7,km,RJ-78-BC-1965,DRV222,16.9,16.9,reported,819.7
TRP001218,MANDI052,Export-Terminal,2026-06-24 08:17:00,2026-06-24 14:11:31,5.9,271.6,km,RJ-41-DF-2783,DRV825,5.9,5.9,reported,271.6
TRP004111,MANDI032,WH-North,2026-08-04 21:07:00,2026-08-05 05:49:00,8.7,520.4,km,RJ-87-CD-3403,DRV733,8.7,8.7,reported,520.4
TRP008942,MANDI021,Export-Terminal,2026-04-19 23:37:28,2026-04-20 16:19:28,16.7,850.8,km,PB-98-DF-3830,DRV786,16.7,16.7,reported,850.8
TRP000305,MANDI026,Export-Terminal,2026-06-22 00:00:00,,7.6,422.6,km,HR-20-CD-6378,DRV161,7.6,7.6,reported,422.6
TRP000624,MANDI048,Export-Terminal,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,417.5,km,,DRV190,8.3,8.3,reported,417.5
TRP007782,MANDI024,WH-South,2026-08-03 00:00:00,2026-08-03 14:39:21,8.8,313.4816695,miles,RJ-72-AB-5979,DRV685,8.8,8.8,reported,504.49858999313
TRP002486,MANDI025,WH-Central,2026-08-06 03:13:00,,9.5 hrs,503.0,km,HR-58-AB-7983,DRV608,,,invalid,503.0
TRP003291,MANDI023,WH-North,2026-06-02 17:53:00,2026-06-03 10:29:33,16.6,766.0,km,PB-51-CD-7947,DRV432,16.6,16.6,reported,766.0
TRP006819,MANDI048,WH-South,2026-07-23 07:56:05,2026-07-23 19:02:00,11.1,446.2,km,DL-38-BC-6694,DRV485,11.1,11.1,reported,446.2
TRP001278,MANDI022,WH-Central,2026-07-18 20:53:32,2026-07-19 01:41:32,4.8,262.2,km,HR-94-DF-4063,DRV934,4.8,4.8,reported,262.2
TRP001902,MANDI028,Export-Terminal,2026-07-07 07:23:00,2026-07-08 01:59:00,18.6,1020.6,km,UP-34-DF-9243,DRV421,18.6,18.6,reported,1020.6
TRP000440,MANDI054,WH-North,2026-01-22 14:59:00,2026-01-23 12:23:07,21.4,1016.8,km,UP-50-AB-4159,DRV162,21.4,21.4,reported,1016.8
TRP007232,MANDI038,WH-South,2026-04-10 06:17:01,2026-04-10 22:47:01,16.5,,,,DRV709,16.5,16.5,reported,
TRP002456,MANDI016,WH-East,2026-06-05 08:59:36,2026-06-05 11:59:36,3.0,164.3,km,DL-30-BC-8601,,3.0,3.0,reported,164.3
TRP002904,MANDI007,WH-South,2026-01-16 00:00:00,2026-01-16 16:54:49,10.2,524.1,km,RJ-55-BC-3913,DRV357,10.2,10.2,reported,524.1
TRP008945,MANDI018,WH-Central,2026-07-04 21:17:31,2026-07-05 17:53:31,20.6,610.3727332999999,miles,PB-83-DF-9790,DRV893,20.6,20.6,reported,982.297254609022
TRP006235,MANDI031,WH-South,2026-02-01 14:55:00,2026-02-01 21:31:24,6.6 hrs,,,HR-69-AB-7486,,,6.6066666666666665,computed,
TRP006410,MANDI049,WH-West,2026-01-13 00:00:00,2026-01-14 15:30:30,20.0 hrs,973.7,km,PB-73-BC-6200,DRV302,,39.50833333333333,computed,973.7
TRP001922,MANDI045,WH-North,2026-03-20 20:25:00,2026-03-21 03:37:00,7.2,297.1,km,HR-67-CD-4681,DRV547,7.2,7.2,reported,297.1
TRP006686,MANDI051,Export-Terminal,2026-04-01 06:14:00,2026-04-02 02:14:05,20.0,1007.1,km,PB-13-DF-2493,,20.0,20.0,reported,1007.1
TRP005144,MANDI032,WH-South,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,,,RJ-28-DF-3707,DRV628,12.5,12.5,reported,
TRP004697,MANDI044,Export-Terminal,2026-08-15 03:48:23,2026-08-16 03:36:00,23.8,621.1845887000001,miles,DL-52-BC-1440,DRV361,23.8,23.8,reported,999.697205978458
TRP001632,MANDI027,WH-West,2026-02-19 19:53:29,2026-02-20 00:00:00,11.9,592.1,km,UP-24-CD-4874,DRV886,11.9,11.9,reported,592.1
TRP007839,MANDI056,WH-Central,2026-04-23 10:45:00,2026-04-24 01:33:34,14.8,,,DL-17-DF-2064,DRV560,14.8,14.8,reported,
TRP003384,MANDI052,Export-Terminal,2026-04-28 05:23:39,,19.6,,,RJ-44-CD-5651,,19.6,19.6,reported,
TRP002610,MANDI017,Export-Terminal,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,479.5,km,,,8.4,8.4,reported,479.5
TRP005169,MANDI025,Export-Terminal,2026-07-02 17:00:00,2026-07-02 23:36:00,6.6 hrs,343.0,km,UP-31-CD-6120,DRV353,,6.6,computed,343.0
TRP007891,MANDI023,WH-North,2026-06-11 18:00:06,2026-06-12 00:00:00,17.6,905.9,km,HR-94-CD-1203,DRV937,17.6,17.6,reported,905.9
TRP001248,MANDI029,WH-South,2026-08-06 00:51:00,2026-08-06 22:39:09,21.8 hrs,1018.2,km,HR-49-DF-9523,DRV507,,21.8025,computed,1018.2
TRP008234,MANDI054,WH-South,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,354.5,km,UP-77-BC-2470,DRV735,6.4,6.4,reported,354.5
TRP006454,MANDI019,WH-South,2026-06-07 18:33:51,2026-06-08 15:09:51,20.6,743.5325386,miles,DL-39-BC-7294,,20.6,20.6,reported,1196.596655670524
TRP002031,MANDI057,WH-South,2026-08-01 08:47:10,2026-08-01 13:05:10,-4.3,185.9,km,RJ-30-DF-3879,DRV891,-4.3,4.3,computed,185.9
TRP007504,MANDI043,Export-Terminal,2026-01-16 15:53:18,2026-01-17 00:00:00,19.6,,,UP-78-AB-5221,DRV629,19.6,19.6,reported,
TRP003195,MANDI023,WH-South,2026-07-02 17:36:29,2026-07-03 17:18:29,23.7,1160.4,km,UP-55-CD-7932,,23.7,23.7,reported,1160.4
TRP006585,MANDI037,WH-West,2026-07-25 01:21:38,,-3.7,216.5,km,,DRV203,-3.7,,invalid,216.5
TRP005072,MANDI033,WH-West,2026-06-02 09:35:00,2026-06-02 17:29:00,7.9,378.4,km,,,7.9,7.9,reported,378.4
TRP001684,MANDI023,WH-South,2026-04-02 15:52:48,2026-04-03 08:10:48,,852.2,km,PB-27-BC-9556,DRV142,,16.3,computed,852.2
TRP005282,MANDI047,WH-East,2026-04-27 00:00:00,2026-04-28 18:09:00,22.8,842.2062534,miles,DL-86-BC-3753,DRV801,22.8,22.8,reported,1355.3962118467562
TRP002702,MANDI021,WH-East,2026-08-15 13:34:52,,18.7,1052.5,km,DL-36-CD-4633,DRV980,18.7,18.7,reported,1052.5
TRP005728,MANDI003,WH-Central,2026-04-04 18:01:00,2026-04-04 22:07:53,4.1,,,PB-53-AB-1832,DRV811,4.1,4.1,reported,
TRP006775,MANDI039,WH-West,2026-06-15 16:11:00,2026-06-16 07:05:00,14.9,753.5,km,RJ-27-AB-2586,DRV100,14.9,14.9,reported,753.5
TRP003747,MANDI044,WH-West,2026-01-06 10:03:07,2026-01-07 03:39:07,17.6,710.0,km,UP-62-CD-7472,DRV268,17.6,17.6,reported,710.0
TRP007389,MANDI002,WH-East,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,,,HR-28-AB-1975,DRV770,14.1,14.1,reported,
TRP008483,MANDI029,WH-East,2026-06-11 11:02:00,2026-06-11 00:00:00,9.5,466.1,km,HR-28-BC-5774,DRV713,9.5,9.5,reported,466.1
TRP002933,MANDI057,WH-South,2026-02-21 22:30:34,2026-02-22 00:00:00,10.1,445.6,km,DL-23-AB-5218,DRV564,10.1,10.1,reported,445.6
TRP005382,MANDI055,WH-Central,2026-06-08 00:00:00,2026-06-08 11:09:00,5.2,294.0,km,HR-81-AB-3126,DRV461,5.2,5.2,reported,294.0
TRP004003,MANDI019,WH-South,2026-07-08 04:44:04,2026-07-09 00:00:00,19.8,840.2,km,RJ-14-BC-6388,DRV158,19.8,19.8,reported,840.2
TRP006097,MANDI018,WH-East,2026-06-13 20:45:53,2026-06-14 19:33:53,22.8,1100.8,km,UP-13-BC-5242,,22.8,22.8,reported,1100.8
TRP008343,MANDI038,WH-West,2026-01-22 19:47:00,2026-01-23 05:47:40,10.0,294.6541282,miles,RJ-36-BC-7540,DRV350,10.0,10.0,reported,474.198674677388
TRP005897,MANDI055,WH-East,2026-02-28 08:43:48,2026-02-28 16:25:00,7.7,445.7,km,HR-20-DF-4433,DRV311,7.7,7.7,reported,445.7
TRP002517,MANDI030,WH-East,2026-04-13 19:43:10,2026-04-14 11:19:10,15.6 hrs,734.4,km,RJ-46-BC-3812,DRV863,,15.6,computed,734.4
TRP008025,MANDI057,WH-South,2026-06-24 13:12:06,2026-06-25 10:06:06,20.9,1010.3,km,DL-69-AB-5694,DRV331,20.9,20.9,reported,1010.3
TRP002479,MANDI056,WH-North,2026-03-17 16:41:00,2026-03-18 06:41:00,14.0,,,UP-20-AB-6931,,14.0,14.0,reported,
TRP008311,MANDI008,WH-East,2026-08-18 01:45:45,2026-08-18 19:57:45,-18.2,906.1,km,,DRV132,-18.2,18.2,computed,906.1
TRP004149,MANDI028,WH-West,2026-05-03 20:00:00,2026-05-04 18:12:00,22.2,948.0,km,PB-14-CD-6880,DRV298,22.2,22.2,reported,948.0
TRP005734,MANDI034,WH-South,2026-03-05 16:09:00,2026-03-06 00:00:00,10.8,521.1,km,UP-88-CD-9876,DRV770,10.8,10.8,reported,521.1
TRP007377,MANDI013,WH-Central,2026-03-27 00:00:00,2026-03-28 00:06:22,20.9,1005.3,km,UP-77-AB-5053,DRV676,20.9,20.9,reported,1005.3
TRP007332,MANDI047,WH-Central,2026-03-21 14:57:00,2026-03-22 12:33:45,21.6,569.3622472999999,miles,RJ-37-BC-7009,DRV210,21.6,21.6,reported,916.2974390697818
TRP004831,MANDI036,WH-South,2026-07-01 10:10:04,2026-07-01 16:10:00,6.0,332.5,km,DL-85-DF-2318,,6.0,6.0,reported,332.5
TRP007838,MANDI040,WH-Central,2026-04-05 10:04:00,2026-04-05 16:04:02,6.0,318.5,km,RJ-55-AB-5201,DRV518,6.0,6.0,reported,318.5
TRP003466,MANDI031,WH-North,2026-08-24 21:58:00,2026-08-25 08:52:52,10.9,,,,DRV696,10.9,10.9,reported,
TRP000322,MANDI003,Export-Terminal,2026-03-06 04:15:50,2026-03-06 15:09:50,10.9,449.3,km,PB-49-CD-8480,,10.9,10.9,reported,449.3
TRP005366,MANDI003,WH-West,2026-05-07 11:52:46,2026-05-08 02:16:46,14.4,712.2,km,RJ-42-AB-5114,DRV803,14.4,14.4,reported,712.2
TRP001079,MANDI031,Export-Terminal,2026-02-03 04:30:30,2026-02-03 23:36:00,19.1,916.9,km,UP-25-DF-6185,DRV847,19.1,19.1,reported,916.9
TRP007640,MANDI033,WH-Central,2026-08-30 22:02:40,2026-08-31 17:32:40,19.5,809.5,km,RJ-10-CD-5947,DRV760,19.5,19.5,reported,809.5
TRP003704,MANDI024,WH-West,2026-02-10 00:00:00,2026-02-11 00:00:00,24.0,1107.0,km,RJ-86-DF-4314,DRV549,24.0,24.0,reported,1107.0
TRP002349,MANDI023,WH-West,2026-04-05 11:52:00,2026-04-06 10:10:12,22.3,1100.1,km,DL-35-DF-7496,DRV600,22.3,22.3,reported,1100.1
TRP004130,MANDI004,WH-North,2026-02-02 18:20:27,2026-02-03 00:00:00,16.8,849.3,km,DL-34-CD-8559,DRV997,16.8,16.8,reported,849.3
TRP001435,MANDI039,WH-South,2026-03-23 01:44:35,2026-03-23 14:56:35,13.2,567.6,km,RJ-30-AB-1006,DRV870,13.2,13.2,reported,567.6
TRP001057,MANDI043,WH-North,2026-07-25 05:01:53,2026-07-26 00:00:00,-20.9,943.2,km,RJ-99-AB-1741,DRV234,-20.9,18.968611111111112,computed,943.2
TRP008696,MANDI036,WH-South,2026-05-02 16:30:00,,11.1,328.4567106,miles,HR-95-BC-2138,DRV224,11.1,11.1,reported,528.5985226370041
TRP001719,MANDI009,WH-West,2026-01-15 15:20:47,2026-01-15 21:44:47,6.4,359.0,km,PB-91-BC-9566,DRV588,6.4,6.4,reported,359.0
TRP008628,MANDI051,WH-South,2026-01-30 21:17:00,2026-01-31 13:59:45,16.7,724.0,km,,DRV334,16.7,16.7,reported,724.0
TRP002693,MANDI019,Export-Terminal,2026-08-13 13:54:40,2026-08-13 22:24:00,8.5,488.8,km,PB-51-AB-8653,DRV840,8.5,8.5,reported,488.8
TRP003756,MANDI029,WH-Central,2026-05-13 16:06:18,2026-05-14 10:12:18,18.1,,,UP-34-AB-2673,DRV936,18.1,18.1,reported,
TRP006713,MANDI020,WH-Central,2026-06-17 03:48:00,2026-06-17 00:00:00,,219.9,km,,DRV126,,,invalid,219.9
TRP009529,MANDI018,WH-North,2026-07-27 03:36:26,2026-07-27 17:24:26,13.8,554.2,km,UP-28-AB-4703,DRV905,13.8,13.8,reported,554.2
TRP004075,MANDI055,WH-North,2026-03-16 23:48:00,2026-03-17 03:48:00,4.0,195.9,km,PB-24-CD-7831,,4.0,4.0,reported,195.9
TRP001524,MANDI045,WH-East,2026-01-05 07:40:34,2026-01-06 04:58:00,21.3,1113.6,km,DL-31-CD-6863,DRV534,21.3,21.3,reported,1113.6
TRP004813,MANDI054,WH-Central,2026-02-08 00:00:00,2026-02-09 03:01:00,18.7,806.7,km,PB-11-DF-2696,DRV854,18.7,18.7,reported,806.7
TRP008502,MANDI053,WH-West,2026-08-24 02:52:52,2026-08-24 05:46:00,2.9,168.9,km,HR-82-AB-7567,DRV177,2.9,2.9,reported,168.9
TRP006962,MANDI046,WH-Central,2026-06-30 11:13:42,2026-06-30 22:43:00,,364.86905120000006,miles,PB-68-BC-3755,DRV855,,11.488333333333332,computed,587.198358858208
TRP003017,MANDI038,WH-South,2026-07-12 05:51:00,2026-07-12 07:57:17,2.1 hrs,72.8246812,miles,RJ-71-BC-9641,DRV798,,2.104722222222222,computed,117.199672442408
TRP006884,MANDI030,WH-South,2026-03-21 19:40:00,2026-03-22 01:58:17,6.3,173.2382348,miles,PB-71-AB-2643,DRV676,6.3,6.3,reported,278.799220793032
TRP007840,MANDI035,WH-Central,2026-06-19 08:29:00,2026-06-19 21:59:28,13.5,706.9,km,RJ-26-BC-2844,,13.5,13.5,reported,706.9
TRP009542,MANDI002,Export-Terminal,2026-03-02 06:10:00,2026-03-02 08:10:59,2.0,71.8304876,miles,DL-81-DF-3115,DRV551,2.0,2.0,reported,115.599676914184
TRP001884,MANDI030,WH-North,2026-07-08 06:58:02,2026-07-09 00:22:02,17.4,770.3,km,,DRV479,17.4,17.4,reported,770.3
TRP005466,MANDI019,WH-South,2026-05-03 21:48:00,2026-05-04 00:00:00,6.9,292.5,km,PB-59-AB-3758,,6.9,6.9,reported,292.5
TRP006329,MANDI052,WH-West,2026-03-20 03:34:48,2026-03-21 02:58:48,-23.4,735.8275382,miles,RJ-54-BC-7562,DRV288,-23.4,23.4,computed,1184.196690326788
TRP005099,MANDI034,Export-Terminal,2026-03-19 14:03:50,2026-03-19 18:21:50,-4.3,248.1,km,DL-82-BC-9183,DRV844,-4.3,4.3,computed,248.1
TRP009230,MANDI030,WH-Central,2026-02-16 03:32:05,2026-02-16 14:08:05,10.6,483.7,km,RJ-82-BC-3304,DRV233,10.6,10.6,reported,483.7
TRP004158,MANDI048,WH-East,2026-02-12 00:13:00,2026-02-12 08:49:59,8.6,363.2,km,HR-52-DF-4502,,8.6,8.6,reported,363.2
TRP006301,MANDI053,WH-East,2026-02-22 00:00:00,2026-02-23 00:00:00,10.5,472.6,km,RJ-24-BC-4641,,10.5,10.5,reported,472.6
TRP004614,MANDI054,WH-North,2026-02-16 20:27:14,,-9.7,479.9,km,UP-62-AB-1484,,-9.7,,invalid,479.9
TRP008599,MANDI056,WH-Central,2026-07-18 05:42:40,2026-07-18 21:48:40,16.1,535.5596649,miles,RJ-97-CD-4878,DRV953,16.1,16.1,reported,861.897591110166
TRP003022,MANDI001,WH-South,2026-08-07 00:00:00,2026-08-08 03:55:41,9.1,488.3,km,PB-14-BC-6897,DRV839,9.1,9.1,reported,488.3
TRP008251,MANDI057,WH-North,2026-06-28 23:40:13,2026-06-29 05:04:13,5.4,,,HR-86-BC-4485,DRV131,5.4,5.4,reported,
TRP006114,MANDI051,WH-South,2026-07-19 00:00:00,2026-07-20 10:46:43,14.8,657.8,km,PB-39-DF-3011,DRV929,14.8,14.8,reported,657.8
TRP000120,MANDI023,WH-South,2026-02-15 00:00:00,2026-02-15 19:14:00,18.0,463.1078063,miles,PB-72-CD-4744,DRV212,18.0,18.0,reported,745.2979169908419
TRP006830,MANDI041,WH-Central,2026-07-09 23:23:00,2026-07-10 23:05:07,23.7,1237.2,km,UP-63-CD-8038,DRV907,23.7,23.7,reported,1237.2
TRP003464,MANDI010,WH-South,2026-07-07 16:19:00,2026-07-07 20:43:00,4.4,122.3479499,miles,HR-90-BC-1367,DRV976,4.4,4.4,reported,196.899449692066
TRP001459,MANDI042,Export-Terminal,2026-04-30 18:22:01,2026-04-30 23:22:01,5.0,275.2,km,UP-51-AB-4994,DRV547,5.0,5.0,reported,275.2
TRP009534,MANDI020,WH-North,2026-08-11 15:41:39,2026-08-12 06:35:39,14.9 hrs,,,UP-17-DF-8204,DRV273,,14.9,computed,
TRP001407,MANDI034,WH-North,2026-08-22 04:11:00,2026-08-22 09:29:18,5.3,,,,DRV657,5.3,5.3,reported,
TRP000488,MANDI002,WH-South,2026-07-29 21:28:03,2026-07-30 00:00:00,14.3,667.9,km,UP-15-BC-9825,DRV395,14.3,14.3,reported,667.9
TRP006327,MANDI056,WH-West,2026-06-21 09:06:51,2026-06-22 02:00:51,16.9,753.7,km,,DRV187,16.9,16.9,reported,753.7
TRP002887,MANDI001,Export-Terminal,2026-07-03 15:43:24,2026-07-04 11:55:24,20.2,1173.0,km,PB-35-DF-1300,,20.2,20.2,reported,1173.0
TRP002146,MANDI044,WH-North,2026-08-02 15:58:00,,12.8,566.8,km,UP-36-BC-4306,DRV521,12.8,12.8,reported,566.8
TRP003521,MANDI045,WH-Central,2026-03-04 06:08:32,2026-03-04 17:20:32,11.2,515.6,km,PB-89-AB-7373,DRV178,11.2,11.2,reported,515.6
TRP006637,MANDI008,WH-West,2026-01-21 01:40:52,2026-01-21 07:34:00,5.9,,,DL-74-DF-3326,DRV150,5.9,5.9,reported,
TRP007248,MANDI057,WH-East,2026-05-26 07:11:00,2026-05-26 12:11:22,-5.0,226.4,km,RJ-34-BC-7142,DRV404,-5.0,5.006111111111111,computed,226.4
TRP007820,MANDI010,WH-East,2026-02-16 10:47:29,2026-02-17 00:29:00,13.7,363.6263092,miles,PB-25-AB-9316,,13.7,13.7,reported,585.1983644479279
TRP000519,MANDI040,WH-South,2026-06-25 09:20:00,2026-06-26 00:00:00,18.8,1043.2,km,RJ-15-DF-1359,DRV555,18.8,18.8,reported,1043.2
TRP001112,MANDI032,WH-West,2026-01-26 00:00:00,2026-01-26 22:56:09,10.9,,,UP-16-AB-6019,DRV205,10.9,10.9,reported,
TRP001685,MANDI049,WH-South,2026-01-20 04:38:11,2026-01-20 00:00:00,16.8,732.3,km,HR-82-DF-6289,DRV937,16.8,16.8,reported,732.3
TRP000736,MANDI042,WH-East,2026-03-02 21:23:00,2026-03-03 11:17:00,13.9,437.9422808,miles,PB-57-CD-6077,,13.9,13.9,reported,704.7980301826719
TRP004615,MANDI042,WH-South,2026-08-15 02:56:00,2026-08-15 23:50:00,20.9,1032.1,km,DL-84-AB-8674,DRV789,20.9,20.9,reported,1032.1
TRP004084,MANDI001,WH-South,2026-02-01 17:45:28,2026-02-02 02:33:28,8.8,452.6,km,HR-52-DF-7826,DRV766,8.8,8.8,reported,452.6
TRP009966,MANDI028,Export-Terminal,2026-06-02 23:55:57,2026-06-03 02:01:57,2.1 hrs,118.8,km,PB-15-BC-5519,DRV863,,2.1,computed,118.8
TRP002329,MANDI010,WH-North,2026-04-28 00:37:00,2026-04-28 03:19:00,2.7,108.4,km,,DRV254,2.7,2.7,reported,108.4
TRP000544,MANDI004,Export-Terminal,2026-08-03 00:23:00,2026-08-03 09:47:00,-9.4,544.4,km,RJ-14-AB-8168,,-9.4,9.4,computed,544.4
